time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,ehe_starts_full_year,ehe_schtype_ey,ehe_schtype_none,ehe_schtype_lamain,ehe_schtype_acad,ehe_schtype_free,ehe_schtype_ind,ehe_schtype_spec,ehe_schtype_ap,ehe_schtype_pru,ehe_schtype_ehe,ehe_schtype_else_unk,ehe_schtype_ey_pc,ehe_schtype_none_pc,ehe_schtype_lamain_pc,ehe_schtype_acad_pc,ehe_schtype_free_pc,ehe_schtype_ind_pc,ehe_schtype_spec_pc,ehe_schtype_ap_pc,ehe_schtype_pru_pc,ehe_schtype_ehe_pc,ehe_schtype_else_unk_pc,ehe_anytime_full_year,ehe_returns_full_year,ehe_leave,ehe_section_437_full_year,ehe_sao_issued_full_year,ehe_sao_revoked_full_year
202425,Academic year,National,E92000001,England,,,,,,78000,x,x,x,x,x,x,x,x,x,x,x,low,2,23,49,2,2,low,low,1,2,19,175900,28100,5400,7400,2500,600
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,3940,x,x,x,x,x,x,x,x,x,x,x,low,1,18,69,1,1,1,low,1,2,5,7930,1080,190,610,70,low
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,9590,x,x,x,x,x,x,x,x,x,x,x,low,1,42,38,1,1,1,low,1,2,12,20900,3760,790,730,180,60
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,8040,x,x,x,x,x,x,x,x,x,x,x,1,1,20,53,1,1,low,low,1,low,22,16730,3170,370,1040,310,10
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,6650,x,x,x,x,x,x,x,x,x,x,x,1,1,14,57,2,3,1,low,low,1,21,15510,2540,420,680,460,270
202425,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,8870,x,x,x,x,x,x,x,x,x,x,x,low,1,17,53,2,1,low,low,1,1,23,20270,2910,510,850,260,90
202425,Academic year,Regional,E92000001,England,E12000006,East of England,,,,10170,x,x,x,x,x,x,x,x,x,x,x,low,2,20,53,3,1,low,low,low,1,18,22440,3200,560,1880,650,90
202425,Academic year,Regional,E92000001,England,E12000008,South East,,,,14550,x,x,x,x,x,x,x,x,x,x,x,low,1,24,39,2,2,low,low,1,1,28,32930,5220,1060,780,350,30
202425,Academic year,Regional,E92000001,England,E12000009,South West,,,,8710,x,x,x,x,x,x,x,x,x,x,x,low,3,14,67,2,2,low,low,low,1,10,21270,3380,490,270,100,10
202425,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,2620,x,x,x,x,x,x,x,x,x,x,x,1,5,34,25,3,6,low,1,1,4,21,5610,920,410,200,80,10
202425,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,4910,x,x,x,x,x,x,x,x,x,x,x,low,2,29,28,9,3,1,low,1,6,21,12340,1960,610,350,80,20
202425,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,240,low,10,60,140,low,low,0,0,low,10,20,low,low,26,57,low,low,0,0,low,low,8,500,50,30,20,10,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,370,low,10,0,350,low,10,low,0,low,low,low,low,low,0,94,low,low,low,0,low,low,low,600,120,10,20,low,low
202425,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,170,0,low,120,30,0,0,0,0,10,10,low,0,low,69,18,0,0,0,0,low,8,low,290,60,10,0,0,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,220,low,low,160,40,0,0,0,0,10,0,20,low,low,70,19,0,0,0,0,low,0,7,430,20,10,390,10,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,410,0,0,40,330,10,low,low,0,0,0,20,0,0,11,80,low,low,low,0,0,0,6,820,90,20,0,0,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,170,0,low,20,130,low,low,0,0,low,10,low,0,low,10,76,low,low,0,0,low,8,low,400,130,10,0,0,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,190,0,10,low,150,low,0,low,low,10,10,10,0,low,low,78,low,0,low,low,low,6,low,410,40,10,10,10,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,250,low,low,10,230,0,0,0,0,0,10,low,low,low,low,91,0,0,0,0,0,low,low,560,100,30,50,30,low
202425,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,320,0,low,50,240,low,low,low,0,low,20,10,0,low,15,75,low,low,low,0,low,low,low,680,100,20,60,10,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,960,0,10,90,690,0,10,10,0,20,20,100,0,low,10,73,0,low,low,0,low,low,10,1890,260,20,10,low,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,260,0,0,10,210,20,0,low,0,0,0,20,0,0,low,82,7,0,low,0,0,0,7,550,50,10,low,low,0
202425,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,390,low,low,150,200,low,10,10,low,low,low,10,low,low,39,52,low,low,low,low,low,low,low,800,50,40,50,low,0
202425,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,90,0,0,10,50,low,low,low,0,low,10,10,0,0,16,51,low,low,low,0,low,15,11,170,60,10,20,10,0
202425,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,660,0,0,250,340,0,10,10,low,low,10,40,0,0,38,52,0,low,low,low,low,low,6,1340,260,70,60,40,10
202425,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,240,0,0,110,120,0,low,0,10,0,low,10,0,0,43,48,0,low,0,low,0,low,low,590,170,30,0,0,0
202425,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,280,low,10,10,230,0,low,10,0,10,10,0,low,low,low,83,0,low,low,0,low,low,0,640,210,10,20,10,10
202425,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,320,low,0,90,180,low,low,10,low,low,low,20,low,0,28,57,low,low,low,low,low,low,8,840,80,low,low,0,0
202425,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,450,10,0,160,200,20,low,low,0,10,0,60,low,0,36,43,low,low,low,0,low,0,13,1010,240,30,170,low,0
202425,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,100,370,190,x,20,10,0
